"id","userid","tweettext","haslinks","hastags","is_retweet","totalretweets","tweeton","creationdate","class","jobid","coordinate"
"1487801267405475841","486699170","RT @cagubnyinyir2: PEKAES OGAH BIKIN KANTOR DI IKN Nusantara!
PBNU Resmi Bikin Kantor di Ibu Kota Negara yg Baru, Gus Yahya: Mumpung Belum…","","","false","1","2022-01-30 14:53:58","2022-01-31","negatif","3",""
"1487799947890020355","861604781869092864","RT @ABSetyono: MENKOMINFO: IKN NUSANTARA BAKAL JADI IBU KOTA CERDAS DAN DIDUKUNG 5G

Menkominfo @PlateJohnny mengatakan,Kominfo akan member…","","","false","45","2022-01-30 14:48:44","2022-01-31","netral","3",""
"1487799485778784259","861604781869092864","RT @ABSetyono: Penjelasan Menkominfo @PlateJohnny Soal Jaringan 5G di Ibu Kota Baru Nusantara

Ibu kota negara (IKN) dipastikan pindah ke w…","","","false","35","2022-01-30 14:46:54","2022-01-31","netral","3",""
"1487798825410387973","1182213610992361473","RT @cagubnyinyir2: PEKAES OGAH BIKIN KANTOR DI IKN Nusantara!
PBNU Resmi Bikin Kantor di Ibu Kota Negara yg Baru, Gus Yahya: Mumpung Belum…","","","false","2","2022-01-30 14:44:16","2022-01-31","negatif","3",""
"1487798476679577602","1013331201396912128","PEKAES OGAH BIKIN KANTOR DI IKN Nusantara!
PBNU Resmi Bikin Kantor di Ibu Kota Negara yg Baru, Gus Yahya: Mumpung Belum Padat https://t.co/S895scKbwM https://t.co/oNDhI0LFdd
@hnurwahid @LaingenLisa @JafYaya2150 @kangmirdja @Fachry_Murakata @Frans_Priyo @Badjrie1 @Ben_Idzardi","dlvr.it/SJ3VdY","","false","1","2022-01-30 14:42:53","2022-01-31","tdk-relevan","3",""
"1487797979918397442","1013331201396912128","PEKAES OGAH BIKIN KANTOR DI IKN Nusantara!
PBNU Resmi Bikin Kantor di Ibu Kota Negara yg Baru, Gus Yahya: Mumpung Belum Padat https://t.co/S895scKbwM https://t.co/oNDhI0LFdd
@hnurwahid @LaingenLisa @j03y4Iez @hansssolo @sirajapadoha @muispebrianto @BossToukeeIsa @SundaDayak","dlvr.it/SJ3VdY","","false","2","2022-01-30 14:40:55","2022-01-31","tdk-relevan","3",""
"1487795175384817665","435004096","RT @ABSetyono: MENKOMINFO: IKN NUSANTARA BAKAL JADI IBU KOTA CERDAS DAN DIDUKUNG 5G

Menkominfo @PlateJohnny mengatakan,Kominfo akan member…","","","false","45","2022-01-30 14:29:46","2022-01-31","netral","3",""
"1487794867933945860","435004096","RT @ABSetyono: Penjelasan Menkominfo @PlateJohnny Soal Jaringan 5G di Ibu Kota Baru Nusantara

Ibu kota negara (IKN) dipastikan pindah ke w…","","","false","35","2022-01-30 14:28:33","2022-01-31","netral","3",""
"1487794728326377472","976185876","RT @detikcom: Sejarawan UGM tidak setuju jika Nusantara dijadikan nama IKN. Ada hal-hal yang hilang bila nama ibu kota memakai nama baru. h…","","","false","5","2022-01-30 14:27:59","2022-01-31","negatif","3",""
"1487794375845617665","1674778544","RT @ABSetyono: MENKOMINFO: IKN NUSANTARA BAKAL JADI IBU KOTA CERDAS DAN DIDUKUNG 5G

Menkominfo @PlateJohnny mengatakan,Kominfo akan member…","","","false","45","2022-01-30 14:26:35","2022-01-31","netral","3",""
"1487794055149158403","1674778544","RT @ABSetyono: Penjelasan Menkominfo @PlateJohnny Soal Jaringan 5G di Ibu Kota Baru Nusantara

Ibu kota negara (IKN) dipastikan pindah ke w…","","","false","35","2022-01-30 14:25:19","2022-01-31","netral","3",""
"1487793798768136192","1086222959599996928","RT @detikcom: Sejarawan UGM tidak setuju jika Nusantara dijadikan nama IKN. Ada hal-hal yang hilang bila nama ibu kota memakai nama baru. h…","","","false","5","2022-01-30 14:24:18","2022-01-31","negatif","3",""
"1487788318079143938","2748535542","RT @detikcom: Sejarawan UGM tidak setuju jika Nusantara dijadikan nama IKN. Ada hal-hal yang hilang bila nama ibu kota memakai nama baru. h…","","","false","5","2022-01-30 14:02:31","2022-01-31","negatif","3",""
"1487785874721210370","797761417894051840","Jakarta - Ibu Kota Negara (IKN) di Kalimantan Timur (Kaltim) nantinya akan bernama Nusantara. Ketua Umum PBNU Yahya Cholil Staquf mengatakan Nusantara adalah singkatan dari NU, Santri, Pemerintah, dan Rakyat.

https://t.co/L5NEgephDQ","news.detik.com/berita/d-59208…","","false","0","2022-01-30 13:52:48","2022-01-31","negatif","3",""
"1487784936547717121","797761417894051840","Pengurus Besar Nahdlatul Ulama (PBNU) akan membangun kantor di wilayah Ibu Kota Baru Negara (IKN) Nusantara, Kalimantan Timur. 

https://t.co/omRXoUp67J","beritasatu.com/nasional/88512…","","false","0","2022-01-30 13:49:05","2022-01-31","negatif","3",""
"1487778469723648001","831900889149489154","RT @Penyair_Berdiri: Nusantara adalah nama Ibu Kota Negara baru Indonesia. Pembangunan untuk mewujudkannya sudah digiatkan &amp; sah sesuai UU…","","","false","19","2022-01-30 13:23:23","2022-01-31","negatif","3",""
"1487777018020200452","1257344090296905728","RT @triosukses: https://t.co/sus0NUVhzZ.

JAKARTA — Ketua Umum PBNU KH Yahya Cholil Staquf @YahyaCStaquf resmi mencanangkan pembangunan kan…","nasional.okezone.com/read/2022/01/3…","","false","3","2022-01-30 13:17:37","2022-01-31","negatif","3",""
"1487776818082254848","1257344090296905728","RT @Muh_Zain_Abid: Ketua Umum PBNU KH Yahya Cholil Staquf resmi mencanangkan pembangunan kantor baru PBNU di Ibu Kota Negara (IKN) di Kecam…","","","false","3","2022-01-30 13:16:49","2022-01-31","tdk-relevan","3",""
"1487772714584576001","440958152","RT @kangmul76: Kantor Staf Kepresidenan (KSP) akan mengawal pelaksanaan pembangunan Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur. Ag…","","","false","15","2022-01-30 13:00:31","2022-01-31","netral","3",""
"1487772096847826945","914271535","RT @yangmi3pr: Bareskrim Polri menaikkan status dugaan penghinaan terhadap Ibu Kota Negara (IKN)  Nusantara dan Kalimantan yang melibatkan…","","","false","1","2022-01-30 12:58:04","2022-01-31","negatif","3",""
"1487770058378067980","429940611","RT @triosukses: https://t.co/sus0NUVhzZ.

JAKARTA — Ketua Umum PBNU KH Yahya Cholil Staquf @YahyaCStaquf resmi mencanangkan pembangunan kan…","nasional.okezone.com/read/2022/01/3…","","false","3","2022-01-30 12:49:58","2022-01-31","negatif","3",""
"1487768777034977282","69183155","Sejarawan UGM tidak setuju jika Nusantara dijadikan nama IKN. Ada hal-hal yang hilang bila nama ibu kota memakai nama baru. https://t.co/KPjOLlwkv2","detik.com/edu/detikpedia…","","false","5","2022-01-30 12:44:52","2022-01-31","negatif","3",""
"1487763531189526530","850931464740810753","Bareskrim Polri menaikkan status dugaan penghinaan terhadap Ibu Kota Negara (IKN)  Nusantara dan Kalimantan yang melibatkan Edy Mulyadi ke Penyidikan.

https://t.co/0r2twWHcPr https://t.co/RhuuMVwu8C","share.babe.news/al/URxNphfcTR?…","","false","1","2022-01-30 12:24:01","2022-01-31","negatif","3",""
"1487763489431388171","1191991749993873410","RT @Rakyat_Merdeka9: Gus Yahya: PBNU Mohon Izin Ikut Nempatin Ibu Kota Negara

#gusyahya #PBNU #Nusantara #IKN #IbuKotaNegara #IbukotaBaru…","","gusyahya PBNU Nusantara IKN IbuKotaNegara IbukotaBaru","false","3","2022-01-30 12:23:51","2022-01-31","tdk-relevan","3",""
"1487762153201610752","1228880402531536897","Yang laen pada sibuk bertikai dan sibuk nyinyir soal pemindahan Ibu Kota Negara, hingga mereka lupa berbenah tuk menjadi lebih bermartabat, bersama IKN Nusantara.

Selamat Ya, buat @nuchannels https://t.co/XWI5i8Ahzv","twitter.com/nety_rusi/stat…","","false","1","2022-01-30 12:18:33","2022-01-31","negatif","3",""
"1487758750144679944","1461028918337626112","RT @Dialoka20: Alasan terpilihnya nama Nusantara sebagai ibu kota negara (IKN). Dipilihnya nama Nusantara karena menggambarkan Republik Ind…","","","false","5","2022-01-30 12:05:01","2022-01-31","negatif","3",""
"1487753133006934016","1397493223245762562","RT @Darwan45537622: @democrazymedia ""Ini berarti akan ada tambahan biaya lagi utk kompensasi bagi pemilik izin tambang
Lagi-lagi kasihan ra…","","","false","13","2022-01-30 11:42:42","2022-01-31","negatif","3",""
